City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
272,Mugia,43.1041,-9.2179,57.6,72,92,13.91,1020,ES,1732767060
273,Aras-asan,8.8908,126.3033,79.03,91,100,6.2,1008,PH,1732767061
274,Darwin,-12.4611,130.8418,82.38,83,75,5.75,1007,AU,1732767062
275,Aleg,17.0481,-13.9209,76.95,15,3,10.58,1013,MR,1732767063
276,Salé,34.0389,-6.8166,65.08,42,0,0.0,1021,MA,1732767064
277,Manavālakurichi,8.1333,77.3,84.85,79,100,2.01,1010,IN,1732767065
278,Palikir,6.9248,158.1611,81.45,89,100,4.61,1006,FM,1732767066
279,Hasaki,35.7333,140.8333,62.64,36,0,27.47,1004,JP,1732767068
280,Kandy,7.2955,80.6356,69.01,100,100,4.41,1011,LK,1732767069
281,San Luis de la Loma,17.2706,-100.8939,76.33,86,0,6.42,1012,MX,1732767070
282,Cidreira,-30.1811,-50.2056,70.88,93,100,3.56,1006,BR,1732767071
283,Broome,42.2506,-75.833,37.89,81,100,7.0,1014,US,1732767072
284,Sagua la Grande,22.8067,-80.0756,71.13,80,0,7.81,1015,CU,1732767073
285,Padang,-0.9492,100.3543,87.85,76,87,4.76,1011,ID,1732767076
286,Stanthorpe,-28.6667,151.95,80.42,63,100,0.27,1014,AU,1732767077
287,Praia,14.9215,-23.5087,72.14,88,0,4.61,1014,CV,1732767080
288,Harper,4.375,-7.7169,76.82,85,6,2.51,1011,LR,1732767082
289,Paita,-5.0892,-81.1144,66.22,80,69,10.49,1014,PE,1732767083
290,Tralee,52.2704,-9.7026,46.45,83,100,16.78,1017,IE,1732767042
291,Pijijiapan,15.7011,-93.23,74.03,75,0,4.32,1012,MX,1732767085
292,Khandyga,62.6667,135.6,3.11,95,100,2.75,1020,RU,1732767086
293,Stanley,54.868,-1.6985,30.52,95,30,4.61,1026,GB,1732767087
294,Carbondale,37.7273,-89.2168,42.8,89,100,10.36,1010,US,1732767088
295,Talnakh,69.4865,88.3972,-2.88,99,94,5.68,1012,RU,1732767089
296,Kholmsk,47.0511,142.0569,37.4,61,100,14.0,1000,RU,1732767090
297,Horta,38.5333,-28.6333,64.02,79,61,17.0,1005,PT,1732767092
298,Tavda,58.0425,65.2726,19.2,95,5,1.86,1025,RU,1732767092
299,Naryan-Mar,67.6713,53.087,22.59,91,23,7.49,1022,RU,1732767096
300,Kushmurun,52.4503,64.6311,13.89,92,53,6.26,1024,KZ,1732767097
301,Puerto Baquerizo Moreno,-0.9,-89.6,71.11,81,75,15.48,1013,EC,1732767099
302,Poyang,28.9924,116.6675,58.95,36,3,19.01,1027,CN,1732767100
303,Chonchi,-42.6128,-73.8092,47.12,97,40,1.97,1019,CL,1732767101
304,Lubang,13.8584,120.124,83.82,75,70,20.47,1010,PH,1732767102
305,Manta,-0.95,-80.7333,71.38,83,20,11.5,1012,EC,1732766943
306,Linhares,-19.3911,-40.0722,69.96,94,38,3.89,1013,BR,1732767104
307,Chela,34.069,104.4619,33.78,35,2,0.78,1031,CN,1732767105
308,Kosh-Agach,50.0,88.6667,-0.44,85,82,0.22,1053,RU,1732767106
309,Saldanha,-33.0117,17.9442,58.71,80,0,13.35,1021,ZA,1732767107
310,Agadez,19.75,10.25,59.2,32,100,8.59,1021,NE,1732767109
311,Port Lincoln,-34.7333,135.8667,61.92,75,99,18.81,1019,AU,1732767110
312,Christchurch,-43.5333,172.6333,81.95,28,96,23.02,1006,NZ,1732766825
313,Road Town,18.4167,-64.6167,80.64,75,36,15.48,1013,VG,1732766837
314,Enewetak,11.3474,162.3373,82.27,83,27,21.16,1008,MH,1732767113
315,Lüderitz,-26.6481,15.1594,58.91,72,0,16.67,1014,NA,1732767114
316,São José da Coroa Grande,-8.8978,-35.1478,75.02,78,25,7.58,1012,BR,1732766979
317,Papao,-17.75,-149.55,83.66,73,91,8.37,1012,PF,1732767116
318,Yallahs,17.8748,-76.5624,76.6,87,100,8.03,1011,JM,1732767117
319,Yallahs,17.8748,-76.5624,76.6,87,100,8.03,1011,JM,1732767117
320,Kailua-Kona,19.6406,-155.9956,78.76,77,20,8.05,1015,US,1732767120
321,Pomáz,47.6423,19.0278,40.55,95,100,3.83,1024,HU,1732767040
322,Port Blair,11.6667,92.75,87.84,70,40,6.91,1011,IN,1732766998
323,Bayanhongor,46.7167,100.1167,6.98,77,23,0.89,1041,MN,1732767123
324,Santiago de Cao,-7.9589,-79.2392,64.53,82,40,8.05,1014,PE,1732767104
325,Abashiri,44.0213,144.2697,39.09,97,99,10.6,1000,JP,1732767125
